metric	value
hits:exon->CDS	24
hits:exon->exon	18
hits:exon->intron	370
copies:exon_to_intron_total	348
copies:exon_01_(2001-6411)	40
copies:exon_02_(7911-8033)	21
copies:exon_03_(8913-9050)	19
copies:exon_04_(9620-9765)	25
copies:exon_05_(10553-10761)	26
copies:exon_06_(11142-11231)	20
copies:exon_07_(13029-13066)	14
copies:exon_08_(17129-17319)	23
copies:exon_09_(17693-17833)	48
copies:exon_10_(18584-18647)	12
copies:exon_11_(19146-19238)	14
copies:exon_12_(20523-20623)	30
copies:exon_13_(21763-21840)	19
copies:exon_14_(25305-25417)	22
copies:exon_15_(26025-26111)	8
copies:exon_16_(36271-36556)	7
intron:total_raw_exon_to_intron_hits	339
intron:total_clustered_copies	240
intron_01_(1-2000):raw_hits	16
intron_01_(1-2000):clustered_copies	13
intron_02_(6412-7910):raw_hits	17
intron_02_(6412-7910):clustered_copies	11
intron_03_(8034-8912):raw_hits	12
intron_03_(8034-8912):clustered_copies	8
intron_04_(9051-9619):raw_hits	6
intron_04_(9051-9619):clustered_copies	4
intron_05_(9766-10552):raw_hits	16
intron_05_(9766-10552):clustered_copies	10
intron_06_(10762-11141):raw_hits	5
intron_06_(10762-11141):clustered_copies	4
intron_07_(11232-13028):raw_hits	23
intron_07_(11232-13028):clustered_copies	16
intron_08_(13067-17128):raw_hits	50
intron_08_(13067-17128):clustered_copies	37
intron_09_(17320-17692):raw_hits	1
intron_09_(17320-17692):clustered_copies	1
intron_10_(17834-18583):raw_hits	9
intron_10_(17834-18583):clustered_copies	5
intron_11_(18648-19145):raw_hits	3
intron_11_(18648-19145):clustered_copies	3
intron_12_(19239-20522):raw_hits	15
intron_12_(19239-20522):clustered_copies	12
intron_13_(20624-21762):raw_hits	15
intron_13_(20624-21762):clustered_copies	11
intron_14_(21841-25304):raw_hits	26
intron_14_(21841-25304):clustered_copies	16
intron_15_(25418-26024):raw_hits	6
intron_15_(25418-26024):clustered_copies	5
intron_16_(26112-36270):raw_hits	107
intron_16_(26112-36270):clustered_copies	74
intron_17_(36557-38556):raw_hits	12
intron_17_(36557-38556):clustered_copies	10
