metric	value
hits:exon->CDS	6
hits:exon->exon	1
hits:exon->intron	85
copies:exon_to_intron_total	83
copies:exon_01_(2001-2428)	30
copies:exon_02_(3029-3127)	9
copies:exon_03_(5649-5758)	16
copies:exon_04_(7788-7880)	11
copies:exon_05_(16838-16979)	15
copies:exon_06_(27314-27340)	2
intron:total_raw_exon_to_intron_hits	82
intron:total_clustered_copies	74
intron_01_(1-2000):raw_hits	6
intron_01_(1-2000):clustered_copies	4
intron_02_(2429-3028):raw_hits	1
intron_02_(2429-3028):clustered_copies	1
intron_03_(3128-5648):raw_hits	10
intron_03_(3128-5648):clustered_copies	10
intron_04_(5759-7787):raw_hits	1
intron_04_(5759-7787):clustered_copies	1
intron_05_(7881-16837):raw_hits	20
intron_05_(7881-16837):clustered_copies	16
intron_06_(16980-27313):raw_hits	40
intron_06_(16980-27313):clustered_copies	38
intron_07_(27341-29340):raw_hits	4
intron_07_(27341-29340):clustered_copies	4
