exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	161.3	1.8e-49	phmmer:f0
	-1	-1	0	103.3	1.3e-31	phmmer:f0
	-1	-1	0	11.9	0.0017	phmmer:f0
	-1	-1	0	71.1	2.8e-22	phmmer:f0
	-1	-1	0	50.3	5.8e-16	phmmer:f0
	-1	-1	0	107.7	1.7e-33	phmmer:f0
	-1	-1	0	77.0	4.3e-24	phmmer:f0
	-1	-1	0	53.2	4.5e-17	phmmer:f0
	-1	-1	0	80.5	3e-25	phmmer:f0
	-1	-1	0	29.7	7.9e-10	phmmer:f0
	-1	-1	0	50.3	3.1e-16	phmmer:f0
	-1	-1	0	87.0	6e-27	phmmer:f0
	-1	-1	0	41.5	1.5e-12	phmmer:f0
	-1	-1	0	50.4	9e-16	phmmer:f0
	-1	-1	0	42.7	2.3e-13	phmmer:f0
	-1	-1	0	70.3	3e-22	phmmer:f0
	-1	-1	0	40.1	7.5e-13	phmmer:f0
	-1	-1	0	76.4	5.7e-24	phmmer:f0
	-1	-1	0	30.4	3.1e-09	phmmer:f0
	-1	-1	0	80.1	7.8e-25	phmmer:f0
	-1	-1	0	25.2	7.6e-08	phmmer:f0
	-1	-1	0	21.8	8.9e-07	phmmer:f0
	-1	-1	0	89.7	1.5e-27	phmmer:f0
