metric	value
hits:exon->CDS	77
hits:exon->exon	26
hits:exon->intron	483
copies:exon_to_intron_total	439
copies:exon_01_(2001-3842)	57
copies:exon_02_(4067-4198)	21
copies:exon_03_(4382-4451)	17
copies:exon_04_(4594-4764)	14
copies:exon_05_(4858-4984)	22
copies:exon_06_(5239-5327)	53
copies:exon_07_(5408-5537)	14
copies:exon_08_(6155-6225)	24
copies:exon_09_(6310-6399)	21
copies:exon_10_(6663-6865)	22
copies:exon_11_(7000-7220)	18
copies:exon_12_(7296-7473)	26
copies:exon_13_(7665-7743)	20
copies:exon_14_(8446-8612)	24
copies:exon_15_(9068-9370)	37
copies:exon_16_(12615-12802)	49
intron:total_raw_exon_to_intron_hits	406
intron:total_clustered_copies	142
intron_01_(1-2000):raw_hits	64
intron_01_(1-2000):clustered_copies	25
intron_02_(3843-4066):raw_hits	5
intron_02_(3843-4066):clustered_copies	3
intron_03_(4199-4381):raw_hits	10
intron_03_(4199-4381):clustered_copies	4
intron_04_(4452-4593):raw_hits	1
intron_04_(4452-4593):clustered_copies	1
intron_05_(4765-4857):raw_hits	5
intron_05_(4765-4857):clustered_copies	1
intron_06_(4985-5238):raw_hits	3
intron_06_(4985-5238):clustered_copies	3
intron_07_(5328-5407):raw_hits	3
intron_07_(5328-5407):clustered_copies	1
intron_08_(5538-6154):raw_hits	26
intron_08_(5538-6154):clustered_copies	7
intron_09_(6226-6309):raw_hits	3
intron_09_(6226-6309):clustered_copies	1
intron_10_(6400-6662):raw_hits	7
intron_10_(6400-6662):clustered_copies	3
intron_11_(6866-6999):raw_hits	7
intron_11_(6866-6999):clustered_copies	2
intron_12_(7221-7295):raw_hits	2
intron_12_(7221-7295):clustered_copies	2
intron_13_(7474-7664):raw_hits	3
intron_13_(7474-7664):clustered_copies	3
intron_14_(7744-8445):raw_hits	15
intron_14_(7744-8445):clustered_copies	9
intron_15_(8613-9067):raw_hits	12
intron_15_(8613-9067):clustered_copies	4
intron_16_(9371-12614):raw_hits	135
intron_16_(9371-12614):clustered_copies	42
intron_17_(12803-14802):raw_hits	105
intron_17_(12803-14802):clustered_copies	31
