metric	value
hits:exon->CDS	42
hits:exon->exon	28
hits:exon->intron	400
copies:exon_to_intron_total	308
copies:exon_01_(2001-2358)	35
copies:exon_02_(3192-3689)	14
copies:exon_03_(4151-4360)	23
copies:exon_04_(4747-4802)	10
copies:exon_05_(4971-5084)	18
copies:exon_06_(5178-5293)	26
copies:exon_07_(5618-5837)	25
copies:exon_08_(6496-6589)	15
copies:exon_09_(6665-6730)	12
copies:exon_10_(6867-6966)	26
copies:exon_11_(7049-7133)	8
copies:exon_12_(7268-7341)	24
copies:exon_13_(7556-7751)	17
copies:exon_14_(8001-8087)	9
copies:exon_15_(8184-8806)	46
intron:total_raw_exon_to_intron_hits	319
intron:total_clustered_copies	93
intron_01_(1-2000):raw_hits	51
intron_01_(1-2000):clustered_copies	9
intron_02_(2359-3191):raw_hits	51
intron_02_(2359-3191):clustered_copies	7
intron_03_(3690-4150):raw_hits	14
intron_03_(3690-4150):clustered_copies	8
intron_04_(4361-4746):raw_hits	24
intron_04_(4361-4746):clustered_copies	5
intron_05_(4803-4970):raw_hits	10
intron_05_(4803-4970):clustered_copies	3
intron_06_(5085-5177):raw_hits	5
intron_06_(5085-5177):clustered_copies	2
intron_07_(5294-5617):raw_hits	13
intron_07_(5294-5617):clustered_copies	5
intron_08_(5838-6495):raw_hits	27
intron_08_(5838-6495):clustered_copies	12
intron_09_(6590-6664):raw_hits	4
intron_09_(6590-6664):clustered_copies	1
intron_10_(6731-6866):raw_hits	5
intron_10_(6731-6866):clustered_copies	2
intron_11_(6967-7048):raw_hits	1
intron_11_(6967-7048):clustered_copies	1
intron_12_(7134-7267):raw_hits	2
intron_12_(7134-7267):clustered_copies	1
intron_13_(7342-7555):raw_hits	8
intron_13_(7342-7555):clustered_copies	3
intron_14_(7752-8000):raw_hits	14
intron_14_(7752-8000):clustered_copies	4
intron_15_(8088-8183):raw_hits	3
intron_15_(8088-8183):clustered_copies	2
intron_16_(8807-10806):raw_hits	87
intron_16_(8807-10806):clustered_copies	28
