intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	51	9	1,2,5,6,9,10,12,14
2	2359	3191	833	51	7	1,2,3,5,6,7,10,12,13,14,15
3	3690	4150	461	14	8	1,2,3,9,10,12,13,14,15
4	4361	4746	386	24	5	1,2,3,4,6,7,8,9,10,12,13,15
5	4803	4970	168	10	3	3,4,7,10,12,15
6	5085	5177	93	5	2	1,5,7,13,14
7	5294	5617	324	13	5	1,3,5,6,7,8,9,15
8	5838	6495	658	27	12	1,2,3,4,5,6,7,8,9,10,11,12,15
9	6590	6664	75	4	1	6,7,8,10
10	6731	6866	136	5	2	2,5,7,12
11	6967	7048	82	1	1	10
12	7134	7267	134	2	1	6,8
13	7342	7555	214	8	3	1,3,6,9,15
14	7752	8000	249	14	4	1,4,6,7,8,9,10,15
15	8088	8183	96	3	2	3,10
16	8807	10806	2000	87	28	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
