metric	value
hits:exon->CDS	7
hits:exon->intron	168
copies:exon_to_intron_total	163
copies:exon_01_(2001-2354)	15
copies:exon_02_(12389-12534)	13
copies:exon_03_(25926-26080)	35
copies:exon_04_(27479-27550)	19
copies:exon_05_(28476-28521)	19
copies:exon_06_(34844-34974)	19
copies:exon_07_(41396-42342)	43
intron:total_raw_exon_to_intron_hits	162
intron:total_clustered_copies	143
intron_01_(1-2000):raw_hits	10
intron_01_(1-2000):clustered_copies	7
intron_02_(2355-12388):raw_hits	30
intron_02_(2355-12388):clustered_copies	28
intron_03_(12535-25925):raw_hits	48
intron_03_(12535-25925):clustered_copies	46
intron_04_(26081-27478):raw_hits	9
intron_04_(26081-27478):clustered_copies	6
intron_05_(27551-28475):raw_hits	5
intron_05_(27551-28475):clustered_copies	3
intron_06_(28522-34843):raw_hits	23
intron_06_(28522-34843):clustered_copies	21
intron_07_(34975-41395):raw_hits	28
intron_07_(34975-41395):clustered_copies	23
intron_08_(42343-44342):raw_hits	9
intron_08_(42343-44342):clustered_copies	9
