metric	value
hits:exon->CDS	15
hits:exon->exon	2
hits:exon->intron	89
copies:exon_to_intron_total	82
copies:exon_01_(2001-2683)	35
copies:exon_02_(3202-3365)	11
copies:exon_03_(3520-3653)	3
copies:exon_04_(4925-5018)	14
copies:exon_05_(5447-5613)	4
copies:exon_06_(7281-7334)	15
intron:total_raw_exon_to_intron_hits	79
intron:total_clustered_copies	59
intron_01_(1-2000):raw_hits	22
intron_01_(1-2000):clustered_copies	14
intron_02_(2684-3201):raw_hits	4
intron_02_(2684-3201):clustered_copies	4
intron_03_(3366-3519):raw_hits	2
intron_03_(3366-3519):clustered_copies	2
intron_04_(3654-4924):raw_hits	10
intron_04_(3654-4924):clustered_copies	9
intron_05_(5019-5446):raw_hits	2
intron_05_(5019-5446):clustered_copies	2
intron_06_(5614-7280):raw_hits	19
intron_06_(5614-7280):clustered_copies	16
intron_07_(7335-9334):raw_hits	20
intron_07_(7335-9334):clustered_copies	12
