metric	value
hits:exon->CDS	14
hits:exon->exon	7
hits:exon->intron	231
copies:exon_to_intron_total	218
copies:exon_01_(2001-2301)	31
copies:exon_02_(2743-2845)	14
copies:exon_03_(3004-3148)	21
copies:exon_04_(3706-3863)	31
copies:exon_05_(4957-5141)	20
copies:exon_06_(6188-6308)	8
copies:exon_07_(6457-6610)	26
copies:exon_08_(8000-8151)	13
copies:exon_09_(10413-10591)	20
copies:exon_10_(12218-12658)	19
copies:exon_11_(17815-18061)	15
intron:total_raw_exon_to_intron_hits	216
intron:total_clustered_copies	148
intron_01_(1-2000):raw_hits	25
intron_01_(1-2000):clustered_copies	19
intron_02_(2302-2742):raw_hits	1
intron_02_(2302-2742):clustered_copies	1
intron_03_(2846-3003):raw_hits	0
intron_03_(2846-3003):clustered_copies	0
intron_04_(3149-3705):raw_hits	2
intron_04_(3149-3705):clustered_copies	2
intron_05_(3864-4956):raw_hits	24
intron_05_(3864-4956):clustered_copies	11
intron_06_(5142-6187):raw_hits	8
intron_06_(5142-6187):clustered_copies	8
intron_07_(6309-6456):raw_hits	0
intron_07_(6309-6456):clustered_copies	0
intron_08_(6611-7999):raw_hits	11
intron_08_(6611-7999):clustered_copies	9
intron_09_(8152-10412):raw_hits	26
intron_09_(8152-10412):clustered_copies	21
intron_10_(10592-12217):raw_hits	21
intron_10_(10592-12217):clustered_copies	10
intron_11_(12659-17814):raw_hits	73
intron_11_(12659-17814):clustered_copies	53
intron_12_(18062-20061):raw_hits	25
intron_12_(18062-20061):clustered_copies	14
