metric	value
hits:exon->CDS	22
hits:exon->exon	22
hits:exon->intron	265
copies:exon_to_intron_total	249
copies:exon_01_(2001-3004)	41
copies:exon_02_(3822-3903)	6
copies:exon_03_(5582-5810)	32
copies:exon_04_(7794-7890)	17
copies:exon_05_(10463-10598)	22
copies:exon_06_(11227-11372)	20
copies:exon_07_(11839-12029)	13
copies:exon_08_(12102-12234)	12
copies:exon_09_(12762-12900)	24
copies:exon_10_(13122-13267)	21
copies:exon_11_(14272-14429)	12
copies:exon_12_(15964-18673)	29
intron:total_raw_exon_to_intron_hits	229
intron:total_clustered_copies	147
intron_01_(1-2000):raw_hits	30
intron_01_(1-2000):clustered_copies	18
intron_02_(3005-3821):raw_hits	11
intron_02_(3005-3821):clustered_copies	6
intron_03_(3904-5581):raw_hits	26
intron_03_(3904-5581):clustered_copies	20
intron_04_(5811-7793):raw_hits	36
intron_04_(5811-7793):clustered_copies	25
intron_05_(7891-10462):raw_hits	39
intron_05_(7891-10462):clustered_copies	20
intron_06_(10599-11226):raw_hits	16
intron_06_(10599-11226):clustered_copies	9
intron_07_(11373-11838):raw_hits	9
intron_07_(11373-11838):clustered_copies	6
intron_08_(12030-12101):raw_hits	0
intron_08_(12030-12101):clustered_copies	0
intron_09_(12235-12761):raw_hits	6
intron_09_(12235-12761):clustered_copies	4
intron_10_(12901-13121):raw_hits	2
intron_10_(12901-13121):clustered_copies	2
intron_11_(13268-14271):raw_hits	11
intron_11_(13268-14271):clustered_copies	7
intron_12_(14430-15963):raw_hits	16
intron_12_(14430-15963):clustered_copies	14
intron_13_(18674-20673):raw_hits	27
intron_13_(18674-20673):clustered_copies	16
