metric	value
hits:exon->CDS	28
hits:exon->exon	15
hits:exon->intron	133
copies:exon_to_intron_total	126
copies:exon_01_(2001-5087)	33
copies:exon_02_(7401-7706)	13
copies:exon_03_(9514-9603)	30
copies:exon_04_(10148-10429)	14
copies:exon_05_(10887-11018)	17
copies:exon_06_(11500-12534)	19
intron:total_raw_exon_to_intron_hits	92
intron:total_clustered_copies	72
intron_01_(1-2000):raw_hits	19
intron_01_(1-2000):clustered_copies	17
intron_02_(5088-7400):raw_hits	27
intron_02_(5088-7400):clustered_copies	19
intron_03_(7707-9513):raw_hits	16
intron_03_(7707-9513):clustered_copies	13
intron_04_(9604-10147):raw_hits	3
intron_04_(9604-10147):clustered_copies	3
intron_05_(10430-10886):raw_hits	4
intron_05_(10430-10886):clustered_copies	4
intron_06_(11019-11499):raw_hits	3
intron_06_(11019-11499):clustered_copies	3
intron_07_(12535-14534):raw_hits	20
intron_07_(12535-14534):clustered_copies	13
