metric	value
hits:exon->CDS	10
hits:exon->exon	13
hits:exon->intron	99
copies:exon_to_intron_total	92
copies:exon_01_(2001-2043)	6
copies:exon_02_(2704-2849)	12
copies:exon_03_(3811-4482)	24
copies:exon_04_(5777-5923)	6
copies:exon_05_(7447-7576)	7
copies:exon_06_(8645-11760)	37
intron:total_raw_exon_to_intron_hits	74
intron:total_clustered_copies	56
intron_01_(1-2000):raw_hits	12
intron_01_(1-2000):clustered_copies	11
intron_02_(2044-2703):raw_hits	2
intron_02_(2044-2703):clustered_copies	2
intron_03_(2850-3810):raw_hits	10
intron_03_(2850-3810):clustered_copies	7
intron_04_(4483-5776):raw_hits	10
intron_04_(4483-5776):clustered_copies	8
intron_05_(5924-7446):raw_hits	19
intron_05_(5924-7446):clustered_copies	10
intron_06_(7577-8644):raw_hits	5
intron_06_(7577-8644):clustered_copies	5
intron_07_(11761-13760):raw_hits	16
intron_07_(11761-13760):clustered_copies	13
