metric	value
hits:exon->CDS	3
hits:exon->exon	13
hits:exon->intron	68
copies:exon_to_intron_total	51
copies:exon_01_(2001-3685)	9
copies:exon_02_(4067-4180)	10
copies:exon_03_(7872-9917)	32
intron:total_raw_exon_to_intron_hits	56
intron:total_clustered_copies	40
intron_01_(1-2000):raw_hits	17
intron_01_(1-2000):clustered_copies	11
intron_02_(3686-4066):raw_hits	9
intron_02_(3686-4066):clustered_copies	5
intron_03_(4181-7871):raw_hits	19
intron_03_(4181-7871):clustered_copies	15
intron_04_(9918-11917):raw_hits	11
intron_04_(9918-11917):clustered_copies	9
