metric	value
hits:exon->CDS	33
hits:exon->exon	5
hits:exon->intron	597
copies:exon_to_intron_total	591
copies:exon_01_(2001-2430)	10
copies:exon_02_(56749-56893)	23
copies:exon_03_(64298-64424)	30
copies:exon_04_(69244-69349)	31
copies:exon_05_(69858-69994)	21
copies:exon_06_(72316-72443)	25
copies:exon_07_(76106-76190)	11
copies:exon_08_(77427-77532)	30
copies:exon_09_(78883-78995)	24
copies:exon_10_(81814-81881)	23
copies:exon_11_(82910-82996)	45
copies:exon_12_(85019-85108)	36
copies:exon_13_(85212-85248)	17
copies:exon_14_(87250-87363)	46
copies:exon_15_(89464-89511)	22
copies:exon_16_(90232-90304)	19
copies:exon_17_(95370-95474)	23
copies:exon_18_(101983-102092)	34
copies:exon_19_(103764-103901)	13
copies:exon_20_(105029-105106)	35
copies:exon_21_(113038-113295)	23
copies:exon_22_(123516-126148)	50
intron:total_raw_exon_to_intron_hits	576
intron:total_clustered_copies	512
intron_01_(1-2000):raw_hits	10
intron_01_(1-2000):clustered_copies	9
intron_02_(2431-56748):raw_hits	244
intron_02_(2431-56748):clustered_copies	225
intron_03_(56894-64297):raw_hits	27
intron_03_(56894-64297):clustered_copies	23
intron_04_(64425-69243):raw_hits	27
intron_04_(64425-69243):clustered_copies	24
intron_05_(69350-69857):raw_hits	2
intron_05_(69350-69857):clustered_copies	1
intron_06_(69995-72315):raw_hits	15
intron_06_(69995-72315):clustered_copies	13
intron_07_(72444-76105):raw_hits	13
intron_07_(72444-76105):clustered_copies	12
intron_08_(76191-77426):raw_hits	10
intron_08_(76191-77426):clustered_copies	9
intron_09_(77533-78882):raw_hits	7
intron_09_(77533-78882):clustered_copies	7
intron_10_(78996-81813):raw_hits	14
intron_10_(78996-81813):clustered_copies	11
intron_11_(81882-82909):raw_hits	4
intron_11_(81882-82909):clustered_copies	4
intron_12_(82997-85018):raw_hits	10
intron_12_(82997-85018):clustered_copies	9
intron_13_(85109-85211):raw_hits	1
intron_13_(85109-85211):clustered_copies	1
intron_14_(85249-87249):raw_hits	10
intron_14_(85249-87249):clustered_copies	9
intron_15_(87364-89463):raw_hits	9
intron_15_(87364-89463):clustered_copies	7
intron_16_(89512-90231):raw_hits	4
intron_16_(89512-90231):clustered_copies	4
intron_17_(90305-95369):raw_hits	33
intron_17_(90305-95369):clustered_copies	26
intron_18_(95475-101982):raw_hits	38
intron_18_(95475-101982):clustered_copies	31
intron_19_(102093-103763):raw_hits	4
intron_19_(102093-103763):clustered_copies	3
intron_20_(103902-105028):raw_hits	6
intron_20_(103902-105028):clustered_copies	5
intron_21_(105107-113037):raw_hits	36
intron_21_(105107-113037):clustered_copies	33
intron_22_(113296-123515):raw_hits	47
intron_22_(113296-123515):clustered_copies	41
intron_23_(126149-128148):raw_hits	5
intron_23_(126149-128148):clustered_copies	5
