intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	21	18	1,2,3,6,7,9,10,11,12,13,16,17,18
2	2579	6724	4146	41	33	1,2,3,4,5,6,7,8,9,10,11,14,15,16,17
3	6819	7256	438	4	3	2,3,6,13
4	7629	8383	755	9	7	1,2,3,7,10,16
5	8619	9029	411	5	4	5,6,7,8,17
6	9173	10379	1207	12	8	1,3,4,5,6,7,8,9,13,15
7	10507	10614	108	0	0	-
8	10831	12444	1614	13	12	1,3,6,8,12,13,14,16,17
9	12556	12960	405	2	2	9
10	13056	13546	491	3	2	6,8
11	13680	13818	139	3	1	7,11,18
12	13972	16679	2708	25	20	1,2,6,7,8,9,10,13,14,15,16,17
13	16835	17390	556	1	1	1
14	17517	18516	1000	7	7	1,2,6,9,14
15	18701	24413	5713	62	51	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16	24504	42256	17753	168	136	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17	42407	43015	609	3	2	13,17,18
18	43094	43272	179	0	0	-
19	43387	45386	2000	11	9	1,10,13,14,17,18
