metric	value
hits:exon->CDS	36
hits:exon->exon	4
hits:exon->intron	408
copies:exon_to_intron_total	398
copies:exon_01_(2001-2578)	54
copies:exon_02_(6725-6818)	30
copies:exon_03_(7257-7628)	25
copies:exon_04_(8384-8618)	14
copies:exon_05_(9030-9172)	11
copies:exon_06_(10380-10506)	33
copies:exon_07_(10615-10830)	22
copies:exon_08_(12445-12555)	17
copies:exon_09_(12961-13055)	16
copies:exon_10_(13547-13679)	26
copies:exon_11_(13819-13971)	16
copies:exon_12_(16680-16834)	11
copies:exon_13_(17391-17516)	22
copies:exon_14_(18517-18700)	24
copies:exon_15_(24414-24503)	20
copies:exon_16_(42257-42406)	31
copies:exon_17_(43016-43093)	17
copies:exon_18_(43273-43386)	9
intron:total_raw_exon_to_intron_hits	390
intron:total_clustered_copies	316
intron_01_(1-2000):raw_hits	21
intron_01_(1-2000):clustered_copies	18
intron_02_(2579-6724):raw_hits	41
intron_02_(2579-6724):clustered_copies	33
intron_03_(6819-7256):raw_hits	4
intron_03_(6819-7256):clustered_copies	3
intron_04_(7629-8383):raw_hits	9
intron_04_(7629-8383):clustered_copies	7
intron_05_(8619-9029):raw_hits	5
intron_05_(8619-9029):clustered_copies	4
intron_06_(9173-10379):raw_hits	12
intron_06_(9173-10379):clustered_copies	8
intron_07_(10507-10614):raw_hits	0
intron_07_(10507-10614):clustered_copies	0
intron_08_(10831-12444):raw_hits	13
intron_08_(10831-12444):clustered_copies	12
intron_09_(12556-12960):raw_hits	2
intron_09_(12556-12960):clustered_copies	2
intron_10_(13056-13546):raw_hits	3
intron_10_(13056-13546):clustered_copies	2
intron_11_(13680-13818):raw_hits	3
intron_11_(13680-13818):clustered_copies	1
intron_12_(13972-16679):raw_hits	25
intron_12_(13972-16679):clustered_copies	20
intron_13_(16835-17390):raw_hits	1
intron_13_(16835-17390):clustered_copies	1
intron_14_(17517-18516):raw_hits	7
intron_14_(17517-18516):clustered_copies	7
intron_15_(18701-24413):raw_hits	62
intron_15_(18701-24413):clustered_copies	51
intron_16_(24504-42256):raw_hits	168
intron_16_(24504-42256):clustered_copies	136
intron_17_(42407-43015):raw_hits	3
intron_17_(42407-43015):clustered_copies	2
intron_18_(43094-43272):raw_hits	0
intron_18_(43094-43272):clustered_copies	0
intron_19_(43387-45386):raw_hits	11
intron_19_(43387-45386):clustered_copies	9
