metric	value
hits:exon->CDS	27
hits:exon->exon	31
hits:exon->intron	429
copies:exon_to_intron_total	418
copies:exon_01_(2001-2137)	27
copies:exon_02_(2306-2451)	7
copies:exon_03_(4044-4253)	15
copies:exon_04_(6937-7051)	37
copies:exon_05_(8077-8253)	18
copies:exon_06_(11131-11264)	21
copies:exon_07_(13220-13355)	10
copies:exon_08_(14189-14306)	15
copies:exon_09_(18038-18122)	16
copies:exon_10_(19811-19923)	18
copies:exon_11_(21626-21814)	20
copies:exon_12_(23911-23973)	38
copies:exon_13_(25246-25411)	22
copies:exon_14_(27415-27433)	2
copies:exon_15_(29248-29340)	25
copies:exon_16_(31104-31334)	15
copies:exon_17_(31981-32183)	23
copies:exon_18_(32879-33133)	25
copies:exon_19_(35294-39214)	64
intron:total_raw_exon_to_intron_hits	381
intron:total_clustered_copies	292
intron_01_(1-2000):raw_hits	18
intron_01_(1-2000):clustered_copies	14
intron_02_(2138-2305):raw_hits	4
intron_02_(2138-2305):clustered_copies	3
intron_03_(2452-4043):raw_hits	17
intron_03_(2452-4043):clustered_copies	13
intron_04_(4254-6936):raw_hits	25
intron_04_(4254-6936):clustered_copies	21
intron_05_(7052-8076):raw_hits	8
intron_05_(7052-8076):clustered_copies	7
intron_06_(8254-11130):raw_hits	33
intron_06_(8254-11130):clustered_copies	24
intron_07_(11265-13219):raw_hits	24
intron_07_(11265-13219):clustered_copies	17
intron_08_(13356-14188):raw_hits	8
intron_08_(13356-14188):clustered_copies	7
intron_09_(14307-18037):raw_hits	33
intron_09_(14307-18037):clustered_copies	26
intron_10_(18123-19810):raw_hits	20
intron_10_(18123-19810):clustered_copies	17
intron_11_(19924-21625):raw_hits	23
intron_11_(19924-21625):clustered_copies	19
intron_12_(21815-23910):raw_hits	30
intron_12_(21815-23910):clustered_copies	22
intron_13_(23974-25245):raw_hits	15
intron_13_(23974-25245):clustered_copies	11
intron_14_(25412-27414):raw_hits	22
intron_14_(25412-27414):clustered_copies	17
intron_15_(27434-29247):raw_hits	23
intron_15_(27434-29247):clustered_copies	20
intron_16_(29341-31103):raw_hits	16
intron_16_(29341-31103):clustered_copies	12
intron_17_(31335-31980):raw_hits	8
intron_17_(31335-31980):clustered_copies	6
intron_18_(32184-32878):raw_hits	10
intron_18_(32184-32878):clustered_copies	7
intron_19_(33134-35293):raw_hits	23
intron_19_(33134-35293):clustered_copies	14
intron_20_(39215-41214):raw_hits	21
intron_20_(39215-41214):clustered_copies	15
