1	314	2001	2314	100.000	314	469	9.41e-135	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
99	159	1932	1992	72.308	65	31.1	0.009	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
121	166	2901	2944	76.087	46	30.3	0.024	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
103	164	36534	36604	72.222	72	30.3	0.024	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
115	148	1787	1826	77.500	40	27.4	0.19	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
92	157	1955	1877	67.901	81	27.4	0.19	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
91	145	1973	2031	70.492	61	26.6	0.19	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
154	230	36536	36462	68.293	82	26.6	0.19	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
217	256	2406	2372	75.610	41	25.9	0.53	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
118	135	2872	2889	94.444	18	25.9	0.53	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
97	163	36408	36466	69.118	68	25.9	0.53	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
290	308	2833	2853	90.476	21	25.1	0.53	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
117	133	2133	2117	94.118	17	24.4	1.5	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
129	157	36249	36278	80.000	30	24.4	1.5	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
260	278	10601	10619	89.474	19	23.6	1.5	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
252	270	2913	2930	89.474	19	22.9	4.1	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
153	201	36520	36479	71.429	49	22.9	4.1	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
277	312	2872	2909	74.359	39	22.2	4.1	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
222	314	36979	36896	64.078	103	22.2	4.1	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
140	160	1929	1953	80.000	25	21.4	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
154	187	1982	1951	75.000	36	21.4	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
23	52	2052	2023	77.419	31	21.4	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
256	282	3830	3802	76.667	30	21.4	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
155	253	36592	36493	65.455	110	21.4	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
217	238	1981	1960	82.609	23	20.7	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
117	150	2887	2850	73.684	38	20.7	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
47	66	66356	66374	85.000	20	20.7	12	Exon_01|rel=2001-2314|len=314	NC_006091.5:79857649-79927071|strand=+|gene=TBC1D14
