intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	13	12	8,12,13,14,15,17,18,21,23
2	2208	3644	1437	5	4	2,3,13,19,24
3	7658	20111	12454	39	37	1,2,3,4,9,12,13,14,16,17,18,19,20,21,22,23,24
4	20349	21373	1025	3	3	8,16
5	21601	25925	4325	17	15	1,2,8,14,15,16,17,18,19,20
6	26091	51161	25071	79	72	1,2,3,4,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24
7	51174	55316	4143	11	10	3,4,5,8,16,18,22,23
8	55429	65831	10403	32	28	1,2,3,5,8,9,12,13,14,15,16,17,18,19,20,21,22
9	65942	120591	54650	192	175	1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10	120706	124924	4219	11	11	1,17,18,19,20,22,23
11	124943	126139	1197	4	4	1,4,15,21
12	126170	127826	1657	3	3	13,15,24
13	127876	131453	3578	19	17	1,2,5,8,9,12,13,14,17,18,19
14	131525	134866	3342	6	6	11,14,17,23,24
15	134954	136540	1587	3	3	2,5,18
16	136680	139368	2689	11	11	4,8,13,14,15,18,19,22
17	139437	139717	281	3	3	2,7,18
18	139854	142079	2226	6	4	2,4,10,15,18,24
19	142223	144412	2190	6	6	8,9,12,14,24
20	144574	145476	903	3	2	16,20,21
21	145576	145786	211	1	1	8
22	145991	147467	1477	5	4	1,15,17,20
23	147618	156502	8885	44	36	1,2,4,5,8,9,12,13,14,15,17,20,21,22,23,24
24	156577	167865	11289	38	33	1,2,3,9,12,13,14,15,16,17,18,19,20,21,22,24
25	169394	171393	2000	6	6	1,3,4,18,24
