intron_index	start	end	length_bp	raw_exon_to_intron_hits	contributing_exons
1	1	2000	2000	1	10
2	3453	4905	1453	1	10
3	5031	5811	781	0	-
4	5936	6888	953	0	-
5	7023	7890	868	0	-
6	8006	8264	259	1	8
7	8344	9642	1299	0	-
8	9839	10356	518	0	-
9	10453	12313	1861	3	1,4,10
10	12457	14048	1592	0	-
11	14215	15764	1550	1	7
12	15847	16272	426	0	-
13	16406	17025	620	0	-
14	17156	17969	814	0	-
15	18122	19916	1795	0	-
16	20010	30430	10421	6	1,2,3,10
17	30647	50573	19927	10	1,2,4,6,9,10,12,16
18	50683	51188	506	1	11
19	51245	53244	2000	3	5,6,7
