intron_index	start	end	length_bp	raw_exon_to_intron_hits	clustered_copies	contributing_exons
1	1	2000	2000	8	7	2,5,6,8,10,13,14,18
2	3453	4905	1453	9	9	1,2,5,8,10,12,14,15
3	5031	5811	781	1	1	4
4	5936	6888	953	6	5	3,5,9,10,11,17
5	7023	7890	868	4	4	1,3,4,7
6	8006	8264	259	2	2	1,8
7	8344	9642	1299	7	7	1,6,8,13,16
8	9839	10356	518	0	0	-
9	10453	12313	1861	10	10	1,4,5,6,8,9,10,12,17
10	12457	14048	1592	17	11	1,3,4,5,6,8,9,11,13,17
11	14215	15764	1550	4	4	4,7,16,17
12	15847	16272	426	4	4	5,9,16,17
13	16406	17025	620	5	4	2,3,9,10,14
14	17156	17969	814	4	4	2,3,4,10
15	18122	19916	1795	14	12	1,7,8,9,15,16,17
16	20010	30430	10421	59	49	1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17
17	30647	50573	19927	112	92	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18	50683	51188	506	5	4	4,11,13,18
19	51245	53244	2000	19	17	3,5,6,7,8,9,10,11,14,17,18
