exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	157.1	3.8e-48	phmmer:f0
	-1	-1	0	100.8	2.3e-31	phmmer:f0
	-1	-1	0	65.7	1.9e-20	phmmer:f0
	-1	-1	0	85.2	3.2e-26	phmmer:f0
	-1	-1	0	78.6	2e-24	phmmer:f0
	-1	-1	0	101.0	3.8e-31	phmmer:f0
	-1	-1	0	144.4	1.5e-44	phmmer:f0
	-1	-1	0	70.6	1.2e-21	phmmer:f0
	-1	-1	0	129.8	3.9e-40	phmmer:f0
	-1	-1	0	51.1	1e-15	phmmer:f0
	-1	-1	0	17.5	0.0001	phmmer:f0
	-1	-1	0	176.6	1.6e-54	phmmer:f0
	-1	-1	0	67.4	2.3e-20	phmmer:f0
	-1	-1	0	57.6	2.7e-17	phmmer:f0
	-1	-1	0	41.5	8.9e-13	phmmer:f0
	-1	-1	0	72.4	1.3e-22	phmmer:f0
	-1	-1	0	137.3	2.3e-42	phmmer:f0
	-1	-1	0	55.3	5.3e-17	phmmer:f0
	-1	-1	0	34.7	2.4e-10	phmmer:f0
	-1	-1	0	18.2	2e-05	phmmer:f0
	-1	-1	0	75.8	1.3e-23	phmmer:f0
	-1	-1	0	16.3	4.6e-05	phmmer:f0
