metric	value
hits:exon->CDS	13
hits:exon->exon	3
hits:exon->intron	127
copies:exon_to_intron_total	117
copies:exon_01_(2001-2115)	16
copies:exon_02_(3164-3294)	10
copies:exon_03_(3945-4036)	7
copies:exon_04_(4171-4256)	12
copies:exon_05_(4611-4720)	7
copies:exon_06_(5338-5484)	14
copies:exon_07_(6204-6287)	5
copies:exon_08_(6459-6521)	9
copies:exon_09_(7769-7846)	8
copies:exon_10_(8103-9597)	29
intron:total_raw_exon_to_intron_hits	115
intron:total_clustered_copies	82
intron_01_(1-2000):raw_hits	26
intron_01_(1-2000):clustered_copies	16
intron_02_(2116-3163):raw_hits	13
intron_02_(2116-3163):clustered_copies	13
intron_03_(3295-3944):raw_hits	8
intron_03_(3295-3944):clustered_copies	4
intron_04_(4037-4170):raw_hits	1
intron_04_(4037-4170):clustered_copies	1
intron_05_(4257-4610):raw_hits	9
intron_05_(4257-4610):clustered_copies	5
intron_06_(4721-5337):raw_hits	6
intron_06_(4721-5337):clustered_copies	4
intron_07_(5485-6203):raw_hits	7
intron_07_(5485-6203):clustered_copies	5
intron_08_(6288-6458):raw_hits	2
intron_08_(6288-6458):clustered_copies	1
intron_09_(6522-7768):raw_hits	19
intron_09_(6522-7768):clustered_copies	14
intron_10_(7847-8102):raw_hits	6
intron_10_(7847-8102):clustered_copies	5
intron_11_(9598-11597):raw_hits	18
intron_11_(9598-11597):clustered_copies	14
