1	803	2001	2803	100.000	803	1196	0.0	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
303	335	16517	16544	78.788	33	25.1	0.39	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
125	151	2151	2125	81.481	27	24.4	1.1	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
283	315	4539	4507	77.143	35	23.6	1.1	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
605	638	3684	3716	77.143	35	22.9	3.0	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
482	497	14707	14692	93.750	16	22.9	3.0	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
460	494	6322	6355	75.000	36	22.2	3.0	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
224	239	18144	18130	93.750	16	22.2	3.0	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
510	539	6163	6131	76.471	34	21.4	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
7	28	1407	1386	82.609	23	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
139	168	4630	4656	76.667	30	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
547	558	4683	4672	100.000	12	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
384	416	7786	7749	71.795	39	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
332	345	9952	9938	93.333	15	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
444	463	10337	10319	85.000	20	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
162	178	10812	10828	88.235	17	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
59	73	11586	11602	88.235	17	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
99	115	14233	14249	88.235	17	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
359	405	14312	14266	71.429	49	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
300	319	15040	15061	81.818	22	20.7	8.5	Exon_01|rel=2001-2803|len=803	NC_006110.5:378582-397034|strand=-|gene=LAPTM5
