metric	value
hits:exon->CDS	26
hits:exon->exon	1
hits:exon->intron	155
copies:exon_to_intron_total	154
copies:exon_01_(2001-2983)	26
copies:exon_02_(4731-4790)	14
copies:exon_03_(5805-5913)	10
copies:exon_04_(11566-11652)	7
copies:exon_05_(13515-13621)	22
copies:exon_06_(14255-14455)	23
copies:exon_07_(14800-14889)	9
copies:exon_08_(15614-15780)	18
copies:exon_09_(16520-16976)	25
intron:total_raw_exon_to_intron_hits	138
intron:total_clustered_copies	108
intron_01_(1-2000):raw_hits	20
intron_01_(1-2000):clustered_copies	16
intron_02_(2984-4730):raw_hits	21
intron_02_(2984-4730):clustered_copies	12
intron_03_(4791-5804):raw_hits	5
intron_03_(4791-5804):clustered_copies	4
intron_04_(5914-11565):raw_hits	52
intron_04_(5914-11565):clustered_copies	42
intron_05_(11653-13514):raw_hits	14
intron_05_(11653-13514):clustered_copies	10
intron_06_(13622-14254):raw_hits	4
intron_06_(13622-14254):clustered_copies	3
intron_07_(14456-14799):raw_hits	2
intron_07_(14456-14799):clustered_copies	1
intron_08_(14890-15613):raw_hits	5
intron_08_(14890-15613):clustered_copies	5
intron_09_(15781-16519):raw_hits	3
intron_09_(15781-16519):clustered_copies	3
intron_10_(16977-18976):raw_hits	12
intron_10_(16977-18976):clustered_copies	12
