metric	value
hits:exon->CDS	8
hits:exon->exon	13
hits:exon->intron	83
copies:exon_to_intron_total	71
copies:exon_01_(2001-3129)	32
copies:exon_02_(3410-3678)	12
copies:exon_03_(3887-4091)	13
copies:exon_04_(4560-4646)	8
copies:exon_05_(4753-4829)	6
intron:total_raw_exon_to_intron_hits	75
intron:total_clustered_copies	42
intron_01_(1-2000):raw_hits	27
intron_01_(1-2000):clustered_copies	18
intron_02_(3130-3409):raw_hits	2
intron_02_(3130-3409):clustered_copies	1
intron_03_(3679-3886):raw_hits	6
intron_03_(3679-3886):clustered_copies	2
intron_04_(4092-4559):raw_hits	13
intron_04_(4092-4559):clustered_copies	8
intron_05_(4647-4752):raw_hits	0
intron_05_(4647-4752):clustered_copies	0
intron_06_(4830-6829):raw_hits	27
intron_06_(4830-6829):clustered_copies	13
