metric	value
hits:exon->CDS	12
hits:exon->exon	18
hits:exon->intron	229
copies:exon_to_intron_total	221
copies:exon_01_(2001-2285)	14
copies:exon_02_(2325-2354)	3
copies:exon_03_(2582-2619)	7
copies:exon_04_(4120-4189)	21
copies:exon_05_(4722-4850)	29
copies:exon_06_(5835-6155)	28
copies:exon_07_(6588-6848)	36
copies:exon_08_(8659-8949)	11
copies:exon_09_(11896-11987)	19
copies:exon_10_(13414-14785)	19
copies:exon_11_(28553-29247)	34
intron:total_raw_exon_to_intron_hits	217
intron:total_clustered_copies	168
intron_01_(1-2000):raw_hits	15
intron_01_(1-2000):clustered_copies	11
intron_02_(2286-2324):raw_hits	0
intron_02_(2286-2324):clustered_copies	0
intron_03_(2355-2581):raw_hits	0
intron_03_(2355-2581):clustered_copies	0
intron_04_(2620-4119):raw_hits	5
intron_04_(2620-4119):clustered_copies	4
intron_05_(4190-4721):raw_hits	7
intron_05_(4190-4721):clustered_copies	3
intron_06_(4851-5834):raw_hits	10
intron_06_(4851-5834):clustered_copies	8
intron_07_(6156-6587):raw_hits	2
intron_07_(6156-6587):clustered_copies	2
intron_08_(6849-8658):raw_hits	12
intron_08_(6849-8658):clustered_copies	11
intron_09_(8950-11895):raw_hits	23
intron_09_(8950-11895):clustered_copies	16
intron_10_(11988-13413):raw_hits	12
intron_10_(11988-13413):clustered_copies	9
intron_11_(14786-28552):raw_hits	114
intron_11_(14786-28552):clustered_copies	93
intron_12_(29248-31247):raw_hits	17
intron_12_(29248-31247):clustered_copies	11
