chrom	start	end	span_bp	n_genes	set1_in_cluster	set2_in_cluster	p_coloc
NC_085842.1	23773345	26326646	2553301	96	3	4	0.19890054972513743
NC_085842.1	30534017	32305394	1771377	81	0	3	
NC_085842.1	128777973	130096501	1318528	23	1	3	0.9950024987506247
NC_085842.1	145899651	146634690	735039	26	4	0	
NC_085842.1	179015638	183950491	4934853	117	12	5	0.8975512243878061
NC_085842.1	192250524	193325653	1075129	25	4	1	1.0
NC_085842.1	195150640	197872616	2721976	59	4	2	0.823088455772114
NC_085842.1	211191987	212152078	960091	41	3	2	0.9415292353823088
NC_085844.1	643109	1216419	573310	11	0	3	
NC_085844.1	3218653	3646770	428117	10	0	4	
NC_085846.1	68598	19856591	19787993	925	36	25	0.42778610694652675
NC_085846.1	22367390	22756271	388881	13	0	3	
NW_026943821.1	357932	11379387	11021455	297	20	11	0.8735632183908046
NW_026943821.1	14075785	17355137	3279352	101	4	3	0.9105447276361819
NW_026943825.1	843650	10156210	9312560	314	22	11	0.39280359820089955
NW_026943825.1	13795979	15776748	1980769	86	2	1	1.0
