exon_index	sstart	send	length	bitscore	evalue	evidence
	-1	-1	0	155.6	6.6e-47	phmmer:f0
	-1	-1	0	37.6	1.3e-10	phmmer:f0
	-1	-1	0	28.4	8.7e-08	phmmer:f0
	-1	-1	0	61.2	3.3e-18	phmmer:f0
	-1	-1	0	131.3	7.1e-40	phmmer:f0
	-1	-1	0	64.6	1.8e-19	phmmer:f0
	-1	-1	0	43.7	9e-13	phmmer:f0
	-1	-1	0	35.6	4e-10	phmmer:f0
	-1	-1	0	43.0	6e-13	phmmer:f0
	-1	-1	0	35.7	1.1e-10	phmmer:f0
	-1	-1	0	115.1	8.2e-35	phmmer:f0
	-1	-1	0	103.6	5.1e-31	phmmer:f0
	-1	-1	0	45.6	6.1e-13	phmmer:f0
	-1	-1	0	35.8	6.8e-10	phmmer:f0
	-1	-1	0	63.7	2.8e-19	phmmer:f0
	-1	-1	0	114.8	7.5e-35	phmmer:f0
	-1	-1	0	87.6	1.3e-26	phmmer:f0
	-1	-1	0	45.6	1.7e-13	phmmer:f0
	-1	-1	0	56.1	7.8e-17	phmmer:f0
	-1	-1	0	85.1	7.2e-26	phmmer:f0
	-1	-1	0	54.5	3e-16	phmmer:f0
	-1	-1	0	57.1	5.1e-17	phmmer:f0
	-1	-1	0	25.6	9.4e-07	phmmer:f0
	-1	-1	0	94.2	5.3e-28	phmmer:f0
	-1	-1	0	42.8	1.2e-12	phmmer:f0
	-1	-1	0	74.9	1.3e-22	phmmer:f0
	-1	-1	0	48.9	2.2e-14	phmmer:f0
	-1	-1	0	170.6	1.6e-51	phmmer:f0
	-1	-1	0	166.3	3e-50	phmmer:f0
	-1	-1	0	158.6	6.3e-48	phmmer:f0
	-1	-1	0	119.1	5.4e-36	phmmer:f0
	-1	-1	0	107.8	1.4e-32	phmmer:f0
	-1	-1	0	101.6	1e-30	phmmer:f0
	-1	-1	0	86.7	3.2e-26	phmmer:f0
	-1	-1	0	78.7	8.1e-24	phmmer:f0
	-1	-1	0	77.9	1.4e-23	phmmer:f0
	-1	-1	0	70.9	1.9e-21	phmmer:f0
	-1	-1	0	65.4	8.2e-20	phmmer:f0
	-1	-1	0	63.9	2.4e-19	phmmer:f0
	-1	-1	0	63.9	2.4e-19	phmmer:f0
	-1	-1	0	62.2	7.8e-19	phmmer:f0
	-1	-1	0	59.3	6e-18	phmmer:f0
	-1	-1	0	57.5	2e-17	phmmer:f0
	-1	-1	0	54.9	1.2e-16	phmmer:f0
	-1	-1	0	47.8	1.6e-14	phmmer:f0
	-1	-1	0	39.1	7.1e-12	phmmer:f0
	-1	-1	0	34.0	2.4e-10	phmmer:f0
	-1	-1	0	34.0	2.5e-10	phmmer:f0
	-1	-1	0	32.1	9.4e-10	phmmer:f0
	-1	-1	0	31.6	1.3e-09	phmmer:f0
	-1	-1	0	27.3	2.6e-08	phmmer:f0
