metric	value
hits:exon->CDS	64
hits:exon->exon	4
hits:exon->intron	653
copies:exon_to_intron_total	584
copies:exon_01_(2001-5828)	109
copies:exon_02_(7477-7623)	24
copies:exon_03_(7763-7950)	25
copies:exon_04_(8538-8664)	21
copies:exon_05_(12529-12663)	8
copies:exon_06_(12766-12893)	19
copies:exon_07_(14017-14121)	6
copies:exon_08_(16324-16516)	10
copies:exon_09_(25383-25714)	9
copies:exon_10_(26296-26427)	13
copies:exon_11_(28539-28842)	14
copies:exon_12_(29645-29803)	34
copies:exon_13_(30484-30614)	27
copies:exon_14_(33270-33452)	25
copies:exon_15_(33529-33693)	17
copies:exon_16_(34368-34565)	33
copies:exon_17_(34824-35033)	11
copies:exon_18_(36763-36912)	16
copies:exon_19_(46828-47079)	20
copies:exon_20_(47952-48077)	32
copies:exon_21_(49173-49403)	19
copies:exon_22_(53055-53201)	34
copies:exon_23_(109255-109344)	40
copies:exon_24_(115024-120312)	18
intron:total_raw_exon_to_intron_hits	627
intron:total_clustered_copies	497
intron_01_(1-2000):raw_hits	8
intron_01_(1-2000):clustered_copies	6
intron_02_(5829-7476):raw_hits	13
intron_02_(5829-7476):clustered_copies	12
intron_03_(7624-7762):raw_hits	0
intron_03_(7624-7762):clustered_copies	0
intron_04_(7951-8537):raw_hits	4
intron_04_(7951-8537):clustered_copies	3
intron_05_(8665-12528):raw_hits	20
intron_05_(8665-12528):clustered_copies	15
intron_06_(12664-12765):raw_hits	1
intron_06_(12664-12765):clustered_copies	1
intron_07_(12894-14016):raw_hits	3
intron_07_(12894-14016):clustered_copies	3
intron_08_(14122-16323):raw_hits	7
intron_08_(14122-16323):clustered_copies	7
intron_09_(16517-25382):raw_hits	46
intron_09_(16517-25382):clustered_copies	36
intron_10_(25715-26295):raw_hits	6
intron_10_(25715-26295):clustered_copies	4
intron_11_(26428-28538):raw_hits	9
intron_11_(26428-28538):clustered_copies	7
intron_12_(28843-29644):raw_hits	7
intron_12_(28843-29644):clustered_copies	5
intron_13_(29804-30483):raw_hits	4
intron_13_(29804-30483):clustered_copies	3
intron_14_(30615-33269):raw_hits	6
intron_14_(30615-33269):clustered_copies	6
intron_15_(33453-33528):raw_hits	0
intron_15_(33453-33528):clustered_copies	0
intron_16_(33694-34367):raw_hits	3
intron_16_(33694-34367):clustered_copies	2
intron_17_(34566-34823):raw_hits	2
intron_17_(34566-34823):clustered_copies	2
intron_18_(35034-36762):raw_hits	7
intron_18_(35034-36762):clustered_copies	6
intron_19_(36913-46827):raw_hits	58
intron_19_(36913-46827):clustered_copies	40
intron_20_(47080-47951):raw_hits	6
intron_20_(47080-47951):clustered_copies	6
intron_21_(48078-49172):raw_hits	13
intron_21_(48078-49172):clustered_copies	9
intron_22_(49404-53054):raw_hits	27
intron_22_(49404-53054):clustered_copies	19
intron_23_(53202-109254):raw_hits	348
intron_23_(53202-109254):clustered_copies	279
intron_24_(109345-115023):raw_hits	23
intron_24_(109345-115023):clustered_copies	20
intron_25_(120313-122312):raw_hits	6
intron_25_(120313-122312):clustered_copies	6
